 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s L Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; Redmi Note 4 MIUI/V9.2.1.0.MBFCNEK)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; HLJ6 Build/MRA58K)"
 "Dalvik/1.6.0 (Linux; U; Android 4.4.4; R7c Build/KTU84P)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; MI 5X MIUI/V9.5.3.0.NDBCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; MI 5X MIUI/V9.0.3.0.NDBCNEI)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; HUAWEI NXT-AL10 Build/HUAWEINXT-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; SM-G9350 Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; WAS-AL00 Build/HUAWEIWAS-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; Redmi Note 4X MIUI/V9.5.2.0.NCFCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; BKL-AL00 Build/HUAWEIBKL-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9s Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO A79t Build/N6F26Q)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9sk Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; OPPO R9 Plusm A Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; MI 6X MIUI/V9.5.8.0.ODCCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11 Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5 Plus MIUI/V9.6.1.0.NEGCNFD)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; Redmi 5 Plus MIUI/V9.6.1.0.NEGCNFD)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; KNT-AL10 Build/HUAWEIKNT-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; 1605-A01 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; NX549J Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO R9sk Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.1.0; ONEPLUS A5000 Build/OPM1.171019.011)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9s Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; GIONEE S10 Build/NRD90M)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; MI 4LTE MIUI/V9.5.3.0.MXDCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; HTC M10h Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MP1713 Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BND-AL10 Build/HONORBND-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; M2 E Build/MMB29U)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; M571C Build/LMY47D)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0.1; OPPO A57 Build/MMB29M)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; PLK-AL10 Build/HONORPLK-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; MX6 Build/NMF26O)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; EVA-AL10 Build/HUAWEIEVA-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; Redmi Note 4X MIUI/V9.5.2.0.NCFCNFA)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1.1; vivo X7 Build/LMY47V)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BLN-AL40 Build/HONORBLN-AL40)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.2; vivo X9 Build/N2G47H)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11t Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; BND-AL10 Build/HONORBND-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 6.0; DIG-AL00 Build/HUAWEIDIG-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; HUAWEI TAG-AL00 Build/HUAWEITAG-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.1.1; OPPO R11s Build/NMF26X)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO A59s Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; MHA-AL00 Build/HUAWEIMHA-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI MLA-TL00 Build/HUAWEIMLA-TL00)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; OPPO R9tm Build/LMY47I)"
 "Dalvik/2.1.0 (Linux; U; Android 8.0.0; VTR-AL00 Build/HUAWEIVTR-AL00)"
 "Dalvik/2.1.0 (Linux; U; Android 7.0; HUAWEI CAZ-AL10 Build/HUAWEICAZ-AL10)"
 "Dalvik/2.1.0 (Linux; U; Android 5.1; CUN-AL00 Build/HUAWEICUN-AL00)"
